LINE_NO,LATITUDE,LONGITUDE,DATETIME,ELEVATION,Collar_ID,TEMP
490,38.9843757,-104.8861091,40661.00,2104.75,2925,5
491,38.9857204,-104.8869228,40661.25,2104.63,2925,12
492,38.9878172,-104.8829184,40661.50,2099.87,2925,18
493,38.9851229,-104.8796486,40661.75,2097.6,2925,17
494,38.9826821,-104.8855809,40662.00,2093.95,2925,8
495,38.9839517,-104.8873075,40662.25,2124.79,2925,16
497,38.9881471,-104.885076,40662.75,2130.9,2925,11
498,38.9925447,-104.8718369,40663.00,2064.82,2925,4
499,38.9874048,-104.8792297,40663.25,2062.67,2925,6
500,38.9900919,-104.8777836,40663.50,2064.36,2925,12
501,38.991368,-104.87526,40663.75,2065.72,2925,7
502,38.9939226,-104.8766366,40664.00,2128.5,2925,3
503,38.9922982,-104.8869786,40664.25,2171.74,2925,3
504,38.9921634,-104.8825828,40664.50,2150.49,2925,10
505,38.9903275,-104.8891955,40664.75,2181.44,2925,6
506,38.9905627,-104.8912111,40665.00,2198.44,2925,3
507,38.9939335,-104.8855372,40665.25,2192.17,2925,2
509,38.984552,-104.8836947,40665.75,2156.86,2925,8
512,38.9866266,-104.8808321,40666.50,2086.79,2925,18
513,38.9823195,-104.8807119,40666.75,2100.77,2925,16
514,38.9860818,-104.8868832,40667.00,2118.63,2925,9
515,38.9912361,-104.8861658,40667.25,2126.72,2925,11
517,38.9931565,-104.8732604,40667.75,2128.69,2925,14
518,38.9868227,-104.8720056,40668.00,2101.21,2925,4
519,38.9862149,-104.8753677,40668.25,2103.55,2925,6
521,38.9855736,-104.8750858,40668.75,2104.11,2925,18
522,38.9864569,-104.8745313,40669.00,2100.53,2925,9
524,38.9921758,-104.8775177,40669.50,2102.71,2925,27
525,38.9897899,-104.882642,40669.75,2102.61,2925,23
526,38.9884357,-104.8795049,40670.00,2084.95,2925,13
529,38.9879343,-104.8853537,40670.75,2085.4,2925,24
530,38.9869846,-104.8828066,40671.00,2086.95,2925,18
531,38.9884556,-104.8862292,40671.25,2115.6,2925,16
532,38.9867912,-104.884306,40671.50,2116.66,2925,27
533,38.9858696,-104.8854633,40671.75,2149.33,2925,22
534,38.9849021,-104.8835219,40672.00,2140.61,2925,14
535,38.9874874,-104.8824965,40672.25,2106.98,2925,15
537,38.9884306,-104.8851834,40672.75,2106.32,2925,20
538,38.9886153,-104.885569,40673.00,2106.4,2925,12
539,38.9913532,-104.8864879,40673.25,2177.41,2925,14
541,38.9932167,-104.8857568,40673.75,2180.83,2925,17
